"","id","date","screen_name","text","pre_processed_text","rt","like"
"43613",43613,2020-04-27,"nephtuness","Udah siap nih. Yuk.
.....
Oia. Lupa lagi corona :) https://t.co/xNBiAEbjdl","udah siap nih yuk oia lupa lagi corona",0,0
"75489",75489,2020-04-26,"mhswjht","Besok Senin ya
https://t.co/WxBSKdIfHE","besok senin ya",0,2
"46509",46509,2020-04-27,"MyHealthDiary2","Virus ini baru dan berbeda sehingga membutuhkan vaksin sendiri. Para peneliti sedang mencoba mengembangkan vaksin melawan COVID-19, dan WHO mendukung upaya mereka.","virus ini baru dan berbeda sehingga membutuhkan vaksin sendiri para peneliti sedang mencoba mengembangkan vaksin melawan covid  dan who mendukung upaya mereka",0,0
"29523",29523,2020-04-27,"AzizulFadly","Selamat berbuka puasa geng <U+0001F64F><U+0001F3FB>
#COVID19 
#PKP 
#KitaJagaKita https://t.co/fZAUGtbzOX","selamat berbuka puasa geng",0,8
"72219",72219,2020-04-26,"windhisavira","Ramadhan kali ini, pandemi covid19, maling dimana-mana, jd kyk waspada trs hmm","ramadhan kali ini pandemi covid maling dimana mana jd kyk waspada trs hmm",0,0
"6579",6579,2020-04-27,"atapberteduh","While mungkin pertanyaan gue ini jg berlaku di negara lain yg menerapkan asimilasi napi ini. Cuma kok ya, sebel aja, keluar rumah ngeri ketularan virus tapi mesti jaga diri juga dari mantan napi yang berulah lagi.","while mungkin pertanyaan gue ini jg berlaku di negara lain yg menerapkan asimilasi napi ini cuma kok ya sebel aja keluar rumah ngeri ketularan virus tapi mesti jaga diri juga dari mantan napi yang berulah lagi",0,0
"54324",54324,2020-04-27,"dyahjemeng","Td tetangga gw yg punya warung cerita katanya ada pembeli datang beli rokok dan ga pake masker, trs ditanya knp ga pake masker. Dia jawab ""gpp bu saya ga akan kena corona, tenang aja"".... Kampreeeeet!! Heh Sontoloyo. Bikin emosi. Ini bisa ga ya Allah langsung engkau tegur saja.","td tetangga gw yg punya warung cerita katanya ada pembeli datang beli rokok dan ga pake masker trs ditanya knp ga pake masker dia jawab gpp bu saya ga akan kena corona tenang aja kampreeeeet heh sontoloyo bikin emosi ini bisa ga ya allah langsung engkau tegur saja",0,0
"96981",96981,2020-04-26,"Joyshannel4","@timelessnoel1 @citizentvkenya Actually right now tunahitaji kunyunyuziwa maji ya Yesu ioshe hii corona thing","actually right now tunahitaji kunyunyuziwa maji ya yesu ioshe hii corona thing",1,0
"26157",26157,2020-04-27,"segopecels","Ini lho yang kemaren saya bilang,tanpa Perppu pemerintah tak bisa bergerak dari sisi pembiayaan penanganan pandemi Covid-19.
Bagi sebagian orang,pemerintah dianggap lamban.Tapi memang beginilah sistem yang disepakati bangsa ini.
Dukung programnya,kritisi pelaksanaannya! https://t.co/XYMMPP7NAz","ini lho yang kemaren saya bilang tanpa perppu pemerintah tak bisa bergerak dari sisi pembiayaan penanganan pandemi covid  bagi sebagian orang pemerintah dianggap lamban tapi memang beginilah sistem yang disepakati bangsa ini dukung programnya kritisi pelaksanaannya",0,0
"101584",101584,2020-04-26,"ananda_safit","Pademi Corona, Tradisi Bubur Sop di Masjid Raya Medan Ditiadakan  https://t.co/gd4DFOD8x1","pademi corona tradisi bubur sop di masjid raya medan ditiadakan",0,0
"106530",106530,2020-04-26,"heejung_st","Corona hilang sebelum ramadhan <U+0001F64F>","corona hilang sebelum ramadhan",0,0
"86704",86704,2020-04-26,"iqbaalliqbaall","@contactap2 ohh begitu min...terima kasih atas informasinya <U+0001F60A> semoga AP 2 bisa menjaga Indonesia dari wabah corona 
kalian merupakan pintu gerbang utama semoga bisa lebih ketat menjaga siapa saja yg mau masuk Indonesia dan klo bisa dikarantina dulu selama 2 minggu","ohh begitu min terima kasih atas informasinya semoga ap  bisa menjaga indonesia dari wabah corona kalian merupakan pintu gerbang utama semoga bisa lebih ketat menjaga siapa saja yg mau masuk indonesia dan klo bisa dikarantina dulu selama  minggu",0,0
"23913",23913,2020-04-27,"malangsatuid","Peduli Dampak Covid-19, Kelompok Masyarakat Desa BLAYU PEDULI Bagikan Sembako https://t.co/t6LU0mKtMx https://t.co/OrSldeFMEu","peduli dampak covid  kelompok masyarakat desa blayu peduli bagikan sembako",1,3
"55182",55182,2020-04-27,"ShanteeShu","@tukangrosok__ @Corona_Kafir @aniesbaswedan Pengen <U+0001F92E> lihat kelakuannya,qo begitu amat... https://t.co/O1WPa3nsPn","pengen lihat kelakuannya qo begitu amat",3,10
"89229",89229,2020-04-26,"DISKOMINFOSS","Konferensi Pers secara Virtual Perkembangan Covid-19 terbaru di Sumsel (Sumsel Command Center, Minggu, 26/04/2020)

Tontom selengkapnya di
https://t.co/1tdHsX3GZe

Cc : @hermanderu1967 @PerchaDeru @ach_rizwan

#sumselmajuuntuksemua
#Diskominfoprovsumsel
#hermanderu
#mawardiyahya https://t.co/AuiJcbLPVd","konferensi pers secara virtual perkembangan covid  terbaru di sumsel sumsel command center minggu    tontom selengkapnya di",0,1
"809",809,2020-04-27,"idntimes","Kabar baiknya, pasien yang sembuh juga bertambah satu https://t.co/lDffdJ6klC","kabar baiknya pasien yang sembuh juga bertambah satu",1,2
"16124",16124,2020-04-27,"KecilFiersa","Waspada penyebaran radikalisme ditengah pandemi Covid-19. https://t.co/Ez4IUnBUqS","waspada penyebaran radikalisme ditengah pandemi covid ",0,1
"25624",25624,2020-04-27,"publikinfo","Kasus Positif Covid-19 Kota Padang Sudah ada di 30 Kelurahan https://t.co/z73ElT8CFs
https://t.co/6O1cr8AENY","kasus positif covid  kota padang sudah ada di  kelurahan",0,0
"76208",76208,2020-04-26,"sam_mambela","@e100ss  Kunjngn msyarkat ke brbgai mnimrkt, psr trdisional, dan kaki lima di sbyraya berduyun-duyun, tdk ada yg mngndalikn, sprtnya phak mnimarkt kwlahan lkukan antspasi kt jadi sngat khawtir akan ggal mmutus mt rntai pnyebarn wbh vrs covid19. Knp dbiarkn ?","kunjngn msyarkat ke brbgai mnimrkt psr trdisional dan kaki lima di sbyraya berduyun duyun tdk ada yg mngndalikn sprtnya phak mnimarkt kwlahan lkukan antspasi kt jadi sngat khawtir akan ggal mmutus mt rntai pnyebarn wbh vrs covid knp dbiarkn",0,0
"7011",7011,2020-04-27,"1966Arjuna","#COVID19indonesia 

Sebaiknya Lebih Terbuka dan Jujur.....

Wali Kota Palangka Raya, Fairid Naparin, mengaku bahwa dirinya positif COVID-19. #publisherstory https://t.co/TH0QKSAnUO","sebaiknya lebih terbuka dan jujur wali kota palangka raya fairid naparin mengaku bahwa dirinya positif covid ",0,0
"98997",98997,2020-04-26,"WillyPrakarsa9","@Kinanti_88 Sebuah signal klo JK mau maju sebagai Capres 2024,itupun klo Wabah Virus Corona sudah berlalu,,,,Belanda masih jauh Ki,,,,","sebuah signal klo jk mau maju sebagai capres  itupun klo wabah virus corona sudah berlalu belanda masih jauh ki",0,4
"31059",31059,2020-04-27,"igaftryhx","@momoondm @moviemenfes Atuh kabur wae dr rumah, dahtau corona!!","atuh kabur wae dr rumah dahtau corona",0,0
"87684",87684,2020-04-26,"reporterhumas","Satgas Kamseltibcarlantas Ops Ketupat Candi 2020 Covid-19 Polres Wonogiri
Penertiban Kendaraan Parkir tidak pada tempatnya di wilayah Ngadirojo https://t.co/bTD4gLrWQr","satgas kamseltibcarlantas ops ketupat candi  covid  polres wonogiri penertiban kendaraan parkir tidak pada tempatnya di wilayah ngadirojo",0,0
