"","id","date","screen_name","text","pre_processed_text","rt","like"
"70363",70363,2020-04-26,"PhilipoMavika","@Tigo_TZ Aiseee tigo mnakwama wap? mtu ananunua kifurushi baada ya wiki mmechange menu.....kwakwel hii sio sawa kabsa kuweni static acheni kuyumba hasa mkizingatia kipindi hiki cha #covid19.","aiseee tigo mnakwama wap mtu ananunua kifurushi baada ya wiki mmechange menu kwakwel hii sio sawa kabsa kuweni static acheni kuyumba hasa mkizingatia kipindi hiki cha",0,0
"26764",26764,2020-04-27,"IndeksN","Inilah 5 Prediksi Akhir Corona di Indonesia, Kapan ? https://t.co/6p8nwbNUDV https://t.co/oHHnmWIZ5E","prediksi corona indonesia",0,0
"26219",26219,2020-04-27,"gowjek","@yaiyayin hehhh kangenn dongg!! ayo meet setelah corona selesai","hehhh kangenn dongg ayo meet corona selesai",0,0
"46427",46427,2020-04-27,"doughwounds","@fiineapples gatau pusing bgt bro corona pemasukan nihil tp aaaakkkk","gatau pusing bgt bro corona pemasukan nihil tp aaaakkkk",0,0
"750",750,2020-04-27,"Alia_tweet","Kelakuan kyk gn diulang2. Semoga segera kena covid-19. Jijik. https://t.co/wmkmsYKFZf","kelakuan kyk gn diulang semoga kena covid jijik",0,0
"16814",16814,2020-04-27,"md_danyal_wasim","@007AliSohrab Godi Media :- 
Aaj ke DNA Analysis mai dekhiye ZAMAATI ka TERRORIST or PAKISTAN se connection
INDIAN :-
Jab ZAMAATI ka Pakistan se connection hai to inhone PLASMA THERAPY ke liye Apna Blood INDIA ko dene ki peshkash kyoun ki ?? ZAMAATI to yahan sab ko COVID-19 faila rhe the??","godi media aaj dna analysis mai dekhiye zamaati ka terrorist or pakistan connection indian jab zamaati ka pakistan connection hai to inhone plasma therapy liye apna blood india ko dene ki peshkash kyoun ki zamaati to yahan sab ko covid faila rhe the",0,0
"4692",4692,2020-04-27,"IndonesiaSuar","UPDATE Corona, Positif Tambah 214 Jadi 9.096, Sembuh 1.151 Sembuh, Meninggal 765 https://t.co/TPgrD8rL3k https://t.co/kAgTvjhhuf","update corona positif sembuh sembuh meninggal",0,0
"65784",65784,2020-04-26,"petikmawar","@skiraniaz <U+3164> 
<U+3164> 
<U+3164> 
Aku kira pas lagi corona, iklan marjannya di stop dulu. Ternyata masih ada ya? <U+0001F602> 
<U+3164> 
<U+3164> 
<U+3164>","",0,0
"82121",82121,2020-04-26,"leosparklingss","@justkoojune Selesai corona ntr kita pepetan biar deket","selesai corona ntr pepetan biar deket",0,0
"71561",71561,2020-04-26,"Jengjeng131","Udah 3 hari ini aku ngeluh terus, karena terbiasan nganggur dan tiba-tiba dipaksa kerja. Padahal rencanaku mulai kerja ketika corona berakhir.","udah ngeluh terbiasan nganggur dipaksa kerja rencanaku kerja corona",0,0
"58515",58515,2020-04-27,"Tandaseru_id","Kecuali Makkah, Arab Saudi Longgarkan Penerapan Lockdown Hadapi Corona https://t.co/B9vcv34Oyg https://t.co/AidEZpxa77","kecuali makkah arab saudi longgarkan penerapan lockdown hadapi corona",0,0
"10521",10521,2020-04-27,"mn202016712972","@HalimOsman11 Berita ini tak sahih bro. Dia sengaja tak mau bt perayaan utk ulangtahun atok dia kerana isu Covid-19 ini. Ini kita blh faham. Dia msh hidup lg.","berita sahih bro sengaja bt perayaan utk ulangtahun atok kerana isu covid blh faham msh hidup lg",0,0
"75730",75730,2020-04-26,"klikkabar","Update Positif Covid-19 di Jatim 768 Kasus https://t.co/96TWVT8WvU https://t.co/3iotqcnMLu","update positif covid jatim",0,0
"107512",107512,2020-04-26,"jeyhopebt","@rojeprk hangout sengaja nyari corona https://t.co/PIozcP3xOu","hangout sengaja nyari corona",1,1
"15902",15902,2020-04-27,"DenDjaka9","@tr4velcompass @dikuunnn @ainunnajib klo gw sih galiat dipoin yg ""matinya""
tp di pemutusan penyebaran virus itu, 
mau yg mati sedikit,, tp kalau blm bubar ,alias mash ada tiap hri yg kena,
ya gw dn tmn"" blm bs kerja..","klo gw sih galiat dipoin yg matinya tp pemutusan penyebaran virus yg mati tp blm bubar alias mash hri yg kena ya gw dn tmn blm bs kerja",0,1
"82475",82475,2020-04-26,"rsa_detu","@daikindo @ustadtengkuzul Apaan sih lu, gak jelas amat
Lagi ngomongin pasien corona, bawa-bawa jihad
Anda sehat ???
Coba ukur suhu tubuhnya, jgn-jgn kena corona <U+0001F604>","sih lu gak ngomongin pasien corona bawa bawa jihad sehat coba ukur suhu tubuhnya jgn jgn kena corona",0,10
